service_tag,model,screen_grade,chassis_grade,color,charger,status,sale_price,sale_date,notes,list_price,photo_notes
JW3X9S3,Vostro 7620,A,B,Gray,Y,sold,420.99,2026-04-13,eBay 147257219187 full price 2h48m after listing,,
9P81KL3,Vostro 15 7510,A,B,Gray,Y,sold,420.99,2026-04-25,eBay 147257219201 full price,,
343GCS3,Vostro 7620,A,B,Gray,Y,sold,370.00,2026-04-21,eBay 147257219202 Best Offer (asked 445.99),,
977F9S3,Vostro 7620,A,B,Gray,Y,sold,380.00,2026-04-16,eBay 147257219196 Best Offer (asked 420.99),,
8YR9LS3,Vostro 7620,A,B,Gray,Y,sold,370.00,2026-04-20,eBay 147257219205 Best Offer (asked 445.99),,
2ZR9LS3,Vostro 7620,A,B,Gray,Y,sold,425.00,2026-04-13,eBay 147257219200 Best Offer (asked 455.99),,
HWR9LS3,Vostro 7620,A,B,Gray,N,sold,459.00,2026-09-11,"eBay 147558286210 counteroffer accepted $459.00 paid 6:50 AM PDT, free shipping, no charger; ship by 2026-09-16; USPS Ground Advantage label bought 2026-09-12 $12.34 (bulk), tracking 9434608106245568279551, sheet stamped SHIP WITHOUT CHARGER",489.00,"Photos show a clean keyboard, palm rest, touchpad and screen; a faint light scratch on the lid near the front-left corner and a faint scratch line on the underside, plus a small white sticker. No charger is pictured and none is included."
78ZSFS3,Vostro 7620,A,B,Gray,Y,sold,450.00,2026-09-12,"eBay 147557828428 listed 2026-09-07 at $459.00 free shipping; repriced 2026-09-09 $459.00 -> $509.00 (ladder v2, Best Offer accept 90% / decline 75%); eBay 147557828428 arkpro-2017 lot deal $450.00 accepted 2026-09-12 4:56 AM PDT, free shipping, SHIPS WITHOUT CHARGER (charger kept); ship by 2026-09-16; USPS Ground Advantage label bought 2026-09-12 $12.34 (bulk), tracking 9434608106244546454027, sheet stamped SHIP WITHOUT CHARGER",509.00,"Photos show one small light scratch on the lid left of the Dell logo (shown close-up) and a faint scuff line near the lid's left edge; faint light scuffs on the underside near the regulatory label. Keyboard, palm rest, touchpad and screen clean with no shiny keys. 130 W Dell charger pictured."
51WBXL3,Vostro 7620,A,B,Gray,Y,sold,479.00,2026-09-12,"repriced 2026-09-09 $435.00 -> $479.00 (ladder v2, Best Offer accept 90% / decline 75%); 2026-09-12 charger ADDED (one of the 130 W adapters kept back from the arkpro-2017 lot), repriced $479.00 -> $509.00 (ladder v2 with-charger tier for the RTX 3050 non-Ti, Best Offer accept 90% / decline 75%; counter $479, floor $445); photos exported 2026-09-12 (13); eBay 147568605140 listed 2026-09-12 9:56 AM PDT at $509.00 free shipping, charger included; SOLD eBay 147568605140 counteroffer accepted $479.00 paid 6:23 PM PDT, free shipping, charger included; ship by 2026-09-16 (order 10-15158-97304, buyer susanc96); USPS Ground Advantage label bought 2026-09-13 $18.07 (bulk), tracking 9434608106245569348478, sheet stamped INCLUDE CHARGER; drops at USPS 2026-09-14",509.00,"Photos show a clean lid with the Dell logo and only light fingerprint smudges; keyboard, palm rest and touchpad clean with no scratches or shiny keys; screen clean (shown at the Windows setup screen); ports and vents clean; underside clean apart from a small white label and the Windows sticker. Photos were taken before the Dell 130 W charger was added; the charger is included."
DXJ6JS3,Vostro 7620,A,B,Gray,Y,sold,425.00,2026-09-10,"eBay 147557828437 counteroffer $425.00 (old ladder, sent 2026-09-09) accepted by buyer and paid 2026-09-10 8:39 AM PDT, free shipping, charger included; ship by 2026-09-15; USPS Ground Advantage label bought 2026-09-10 $8.30, tracking 9434608106244540834474",509.00,"Photos show a clean lid, keyboard and palm rest with no scratches or dents; the touchpad has a visible smooth, slightly shiny patch from use (shown close-up). Ports clean; underside clean apart from a small white sticker. 130 W Dell charger pictured."
4ZJ6JS3,Vostro 7620,A,B,Gray,Y,sold,495.00,2026-09-12,"eBay 147557828425 listed 2026-09-07 at $479.00 free shipping; anchor test 2026-09-08: revised $479.00 -> $529.00, Best Offer auto-accept 90% / auto-decline 83%; 2026-09-12 earmarked as the swap unit for order 18-15130-87607 if buyer 489gs_79 asks; hold offers until that resolves; 2026-09-12 hold lifted (buyer took the refund); offered to 489gs_79 at $479 as a second unit; SOLD: eBay 147557828425 counteroffer accepted $495.00 paid 12:15 PM PDT, free shipping, charger included (buyer aslugajax, order 17-15145-22581); ship by 2026-09-16; USPS Ground Advantage label bought 2026-09-13 $17.65 (bulk), tracking 9434608106244547876613, sheet stamped INCLUDE CHARGER; drops at USPS 2026-09-14",529.00,"Photos show a clean keyboard, palm rest, touchpad and screen; the lid is clean apart from a few faint light specks and fingerprint smudges. Ports and underside clean apart from a small white sticker. 130 W Dell charger pictured."
D70SVG3,Vostro 15 7510,A,B,Gray,N,sold,355.00,2026-09-08,"eBay 147558286212 counteroffer $355.00 accepted by buyer and paid 2026-09-08 (asked 375.00, 49% battery), free shipping, no charger; ship by 2026-09-11; USPS Ground Advantage label bought 2026-09-09 $12.34, tracking 9434608106245558570460",375.00,Photos show a clean keyboard and palm rest; a small spot on the touchpad; a few faint scuff marks near the lid's top-right corner; scuff patches and a torn Windows sticker on the underside. Battery health is 49% and is priced accordingly. No charger is pictured and none is included.
727MYZ2,Vostro 7500,A,B,Gray,Y,sold,330.00,2026-09-09,"eBay 147557593786 counteroffer $330.00 accepted by buyer 2026-09-09 8:17 AM PDT (asked 349.00), free shipping, charger included; buyer asked for extra edge/corner padding, laptop centered and not touching box walls; USPS Ground Advantage label bought 2026-09-09 $8.30, tracking 9434608106245558520540",349.00,"Photos show light wear: a few faint light scratches on the lid near the Dell logo, a small white scuff on the front edge of the base (shown close-up), and scuff patches on the underside from desk use. Keyboard, palm rest, touchpad, ports and screen clean. 130 W Dell charger pictured."
7LCTF63,Vostro 7500,A,B,Gray,N,sold,290.00,2026-09-08,"eBay 147558286214 Best Offer $290.00 auto-accepted 2026-09-08 (asked 315.00), free shipping, no charger; ship by 2026-09-11; USPS Ground Advantage label bought 2026-09-08 $12.34, tracking 9434608106245556834588",315.00,"Photos show a clean keyboard, palm rest, touchpad and screen; a few faint scuffs at one lid corner and light smudging near the Dell logo (shown close-up); a light abrasion mark on the underside next to a rubber foot and faint scuffs; Windows sticker on the underside. No charger is pictured and none is included."
H1N3R93,Vostro 7500,,,,,sold,329.00,2026-09-09,"eBay 147557593785 full price $329.00 paid 2026-09-09 12:43 PM PDT, free shipping, charger included, 69% battery disclosed; UPS Ground label bought 2026-09-09 $12.03, tracking 1Z14V5340336903522",329.00,"Photos show light wear: several faint light scratches on the lid near its left edge and around the Dell logo, a tiny white nick on the lid's front edge, a few small light scuffs at one lid corner (all shown close-up), and scuff patches on the underside from desk use. Keyboard, palm rest, touchpad, ports and screen clean. 130 W Dell charger pictured."
JV25GS3,Vostro 7620,,,,,sold,450.00,2026-09-12,"eBay 147557593784 listed 2026-09-07 at $479.00 free shipping; revised 2026-09-07 with photo-based condition text; repriced 2026-09-09 $479.00 -> $529.00 (ladder v2, Best Offer accept 90% / decline 75%); eBay 147557593784 arkpro-2017 lot deal $450.00 accepted 2026-09-12 5:24 AM PDT, free shipping, SHIPS WITHOUT CHARGER (charger kept); paid 2026-09-12 9:50 AM PDT (order 27-15126-76075); ship by 2026-09-16; USPS Ground Advantage label bought 2026-09-12 $12.34 (bulk), tracking 9434608106245568425880, sheet stamped SHIP WITHOUT CHARGER",529.00,"Photos show a clean lid, palm rest and keyboard with no scratches, dents or shiny keys; only light fingerprint smudges on the palm rest. Ports and underside clean. 130 W Dell USB-C charger pictured."
